date,chatGPT,Generative AI,GPT-4,Artificial Intelligence,isPartial
2021-01-31,0,0,0,0,False
2021-02-07,0,0,0,0,False
2021-02-14,0,0,0,0,False
2021-02-21,0,0,0,1,False
2021-02-28,0,0,0,1,False
2021-03-07,0,0,0,0,False
2021-03-14,0,0,0,1,False
2021-03-21,0,0,0,0,False
2021-03-28,0,0,0,0,False
2021-04-04,0,0,0,0,False
2021-04-11,0,0,0,0,False
2021-04-18,0,0,0,0,False
2021-04-25,0,0,0,0,False
2021-05-02,0,0,0,0,False
2021-05-09,0,0,0,0,False
2021-05-16,0,0,0,0,False
2021-05-23,0,0,0,0,False
2021-05-30,0,0,0,0,False
2021-06-06,0,0,0,0,False
2021-06-13,0,0,0,0,False
2021-06-20,0,0,0,0,False
2021-06-27,0,0,0,0,False
2021-07-04,0,0,0,0,False
2021-07-11,0,0,0,0,False
2021-07-18,0,0,0,0,False
2021-07-25,0,0,0,0,False
2021-08-01,0,0,0,0,False
2021-08-08,0,0,0,0,False
2021-08-15,0,0,0,0,False
2021-08-22,0,0,0,1,False
2021-08-29,0,0,0,0,False
2021-09-05,0,0,0,0,False
2021-09-12,0,0,0,1,False
2021-09-19,0,0,0,1,False
2021-09-26,0,0,0,0,False
2021-10-03,0,0,0,1,False
2021-10-10,0,0,0,0,False
2021-10-17,0,0,0,1,False
2021-10-24,0,0,0,1,False
2021-10-31,0,0,0,0,False
2021-11-07,0,0,0,1,False
2021-11-14,0,0,0,1,False
2021-11-21,0,0,0,1,False
2021-11-28,0,0,0,1,False
2021-12-05,0,0,0,1,False
2021-12-12,0,0,0,1,False
2021-12-19,0,0,0,0,False
2021-12-26,0,0,0,0,False
2022-01-02,0,0,0,1,False
2022-01-09,0,0,0,1,False
2022-01-16,0,0,0,1,False
2022-01-23,0,0,0,1,False
2022-01-30,0,0,0,1,False
2022-02-06,0,0,0,1,False
2022-02-13,0,0,0,1,False
2022-02-20,0,0,0,1,False
2022-02-27,0,0,0,1,False
2022-03-06,0,0,0,1,False
2022-03-13,0,0,0,1,False
2022-03-20,0,0,0,1,False
2022-03-27,0,0,0,1,False
2022-04-03,0,0,0,1,False
2022-04-10,0,0,0,1,False
2022-04-17,0,0,0,1,False
2022-04-24,0,0,0,1,False
2022-05-01,0,0,0,1,False
2022-05-08,0,0,0,1,False
2022-05-15,0,0,0,1,False
2022-05-22,0,0,0,1,False
2022-05-29,0,0,0,1,False
2022-06-05,0,0,0,1,False
2022-06-12,0,0,0,1,False
2022-06-19,0,0,0,1,False
2022-06-26,0,0,0,1,False
2022-07-03,0,0,0,1,False
2022-07-10,0,0,0,1,False
2022-07-17,0,0,0,1,False
2022-07-24,0,0,0,1,False
2022-07-31,0,0,0,1,False
2022-08-07,0,0,0,1,False
2022-08-14,0,0,0,1,False
2022-08-21,0,0,0,1,False
2022-08-28,0,0,0,1,False
2022-09-04,0,0,0,1,False
2022-09-11,0,0,0,1,False
2022-09-18,0,0,0,1,False
2022-09-25,0,0,0,1,False
2022-10-02,0,0,0,1,False
2022-10-09,0,0,0,1,False
2022-10-16,0,0,0,1,False
2022-10-23,0,0,0,1,False
2022-10-30,0,0,0,1,False
2022-11-06,0,0,0,1,False
2022-11-13,0,0,0,1,False
2022-11-20,0,0,0,1,False
2022-11-27,1,0,0,1,False
2022-12-04,8,0,0,1,False
2022-12-11,11,0,0,1,False
2022-12-18,6,0,0,1,False
2022-12-25,6,0,0,1,False
2023-01-01,9,0,0,1,False
2023-01-08,14,0,0,1,False
2023-01-15,17,0,0,1,False
2023-01-22,20,0,0,1,False
2023-01-29,25,0,0,1,False
2023-02-05,30,0,0,1,False
2023-02-12,31,0,0,1,False
2023-02-19,30,0,0,1,False
2023-02-26,29,0,0,1,False
2023-03-05,27,0,0,1,False
2023-03-12,32,0,1,1,False
2023-03-19,37,0,0,1,False
2023-03-26,39,0,0,1,False
2023-04-02,37,0,0,1,False
2023-04-09,38,0,0,1,False
2023-04-16,40,0,0,1,False
2023-04-23,39,0,0,1,False
2023-04-30,38,0,0,1,False
2023-05-07,38,0,0,1,False
2023-05-14,38,0,0,1,False
2023-05-21,39,0,0,1,False
2023-05-28,36,0,0,1,False
2023-06-04,35,0,0,1,False
2023-06-11,37,0,0,1,False
2023-06-18,34,0,0,1,False
2023-06-25,31,0,0,1,False
2023-07-02,32,0,0,1,False
2023-07-09,32,0,0,1,False
2023-07-16,27,0,0,1,False
2023-07-23,27,0,0,1,False
2023-07-30,27,0,0,1,False
2023-08-06,29,0,0,1,False
2023-08-13,28,0,0,1,False
2023-08-20,30,0,0,1,False
2023-08-27,33,0,0,1,False
2023-09-03,32,0,0,1,False
2023-09-10,35,0,0,1,False
2023-09-17,38,0,0,1,False
2023-09-24,39,0,0,1,False
2023-10-01,39,0,0,1,False
2023-10-08,40,0,0,1,False
2023-10-15,42,0,0,1,False
2023-10-22,42,0,0,1,False
2023-10-29,40,0,0,1,False
2023-11-05,42,0,0,1,False
2023-11-12,41,0,0,1,False
2023-11-19,42,0,0,1,False
2023-11-26,48,0,0,1,False
2023-12-03,45,0,0,1,False
2023-12-10,45,0,0,1,False
2023-12-17,36,0,0,1,False
2023-12-24,28,0,0,1,False
2023-12-31,33,0,0,1,False
2024-01-07,40,0,0,1,False
2024-01-14,40,0,0,1,False
2024-01-21,40,0,0,1,False
2024-01-28,41,0,0,1,False
2024-02-04,41,0,0,1,False
2024-02-11,43,0,0,1,False
2024-02-18,41,0,0,1,False
2024-02-25,45,0,0,1,False
2024-03-03,45,0,0,1,False
2024-03-10,45,0,0,1,False
2024-03-17,46,0,0,1,False
2024-03-24,40,0,0,1,False
2024-03-31,42,0,0,1,False
2024-04-07,43,0,0,1,False
2024-04-14,48,0,0,1,False
2024-04-21,47,0,0,1,False
2024-04-28,47,0,0,1,False
2024-05-05,46,0,0,1,False
2024-05-12,54,0,0,1,False
2024-05-19,54,0,0,1,False
2024-05-26,52,0,0,1,False
2024-06-02,56,0,0,1,False
2024-06-09,47,0,0,1,False
2024-06-16,43,1,0,1,False
2024-06-23,42,0,0,1,False
2024-06-30,40,0,0,1,False
2024-07-07,39,0,0,1,False
2024-07-14,41,0,0,1,False
2024-07-21,40,0,0,1,False
2024-07-28,39,0,0,1,False
2024-08-04,44,0,0,1,False
2024-08-11,47,0,0,1,False
2024-08-18,54,0,0,1,False
2024-08-25,57,0,0,1,False
2024-09-01,62,0,0,1,False
2024-09-08,66,0,0,1,False
2024-09-15,69,0,0,1,False
2024-09-22,75,0,0,1,False
2024-09-29,72,0,0,1,False
2024-10-06,76,0,0,1,False
2024-10-13,81,0,0,1,False
2024-10-20,87,0,0,1,False
2024-10-27,78,0,0,1,False
2024-11-03,87,0,0,1,False
2024-11-10,95,0,0,1,False
2024-11-17,95,0,0,1,False
2024-11-24,88,0,0,1,False
2024-12-01,100,0,0,1,True
